id,name,artist,cardClass,cost,attack,health,set,type,rarity
AT_059,Brave archère,Eva Widermann,HUNTER,1,2,1,TGT,MINION,COMMON
AT_060,Piège à ours,Richard Wright,HUNTER,2,,,TGT,SPELL,COMMON
AT_061,Prêt à tirer,Matt Dixon,HUNTER,0,,,TGT,SPELL,EPIC
AT_062,Boule d’araignées,Skan Srisuwan,HUNTER,3,,,TGT,SPELL,RARE
AT_063,Gueule-d’acide,Andrew Hou,HUNTER,3,4,2,TGT,MINION,LEGENDARY
AT_063t,Écaille-d’effroi,Zoltan Boros,HUNTER,3,4,2,TGT,MINION,LEGENDARY
AT_064,Rossée,Dany Orizio,WARRIOR,2,,,TGT,SPELL,COMMON
AT_065,Défenseur du roi,Michael Franchina,WARRIOR,3,3,,TGT,WEAPON,RARE
AT_066,Aspirant d’Orgrimmar,Hideaki Takamura,WARRIOR,3,3,3,TGT,MINION,COMMON
AT_067,Magnataure alpha,Alex Horley Orlandelli,WARRIOR,4,5,3,TGT,MINION,EPIC
AT_068,Renforcement,Mishi McCaig,WARRIOR,2,,,TGT,SPELL,COMMON
AT_069,Partenaire d’entraînement,Jim Nelson,WARRIOR,2,3,2,TGT,MINION,RARE
AT_070,Cap’taine céleste Kragg,Alex Horley Orlandelli,NEUTRAL,7,4,6,TGT,MINION,LEGENDARY
AT_071,Championne d’Alexstrasza,Evgeniy Zaqumyennyy,WARRIOR,2,2,3,TGT,MINION,RARE
AT_072,Varian Wrynn,Wei Wang,WARRIOR,10,7,7,TGT,MINION,LEGENDARY
AT_073,Esprit combatif,Jim Nelson,PALADIN,1,,,TGT,SPELL,RARE
AT_074,Sceau des champions,Jonboy Meyers,PALADIN,3,,,TGT,SPELL,COMMON
AT_075,Maître des chevaux de guerre,Zoltan & Gabor,PALADIN,3,3,4,TGT,MINION,COMMON
AT_076,Chevalier murloc,Sam Nielson,PALADIN,4,3,4,TGT,MINION,COMMON
AT_077,Lance d’Argent,Joe Wilson,PALADIN,2,2,,TGT,WEAPON,RARE
AT_078,Entrée dans le Colisée,Mauricio Herrera,PALADIN,3,,,TGT,SPELL,EPIC
AT_079,Adversaire mystérieux,Zoltan Boros,PALADIN,5,5,5,TGT,MINION,EPIC
AT_080,Commandant du fief,Jesper Ejsing,NEUTRAL,2,2,3,TGT,MINION,EPIC
AT_081,Eadric le Pur,James Ryman,PALADIN,7,3,7,TGT,MINION,LEGENDARY
AT_082,Modeste écuyer,Ron Spears,NEUTRAL,1,1,2,TGT,MINION,COMMON
AT_083,Chevaucheur de faucon-dragon,Anton Zemskov,NEUTRAL,3,3,3,TGT,MINION,COMMON
AT_084,Porte-lance,Tyson Murphy,NEUTRAL,2,1,2,TGT,MINION,COMMON
AT_085,Damoiselle du Lac,Froilan Gardner,NEUTRAL,4,2,6,TGT,MINION,COMMON
AT_086,Saboteur,Greg Staples,NEUTRAL,3,4,3,TGT,MINION,RARE
AT_087,Cavalier d’Argent,Evgeniy Zaqumyennyy,NEUTRAL,3,2,1,TGT,MINION,COMMON
AT_088,Champion de Mogor,Steve Prescott,NEUTRAL,6,8,5,TGT,MINION,RARE
AT_089,Lieutenant de la garde d’os,Slawomir Maniak,NEUTRAL,2,3,2,TGT,MINION,COMMON
AT_090,Champion de Mukla,Andrew Hou,NEUTRAL,5,5,3,TGT,MINION,COMMON
AT_091,Médecin du tournoi,Sean McNally,NEUTRAL,4,1,8,TGT,MINION,COMMON
AT_092,Enragé de glace,Anton Zemskov,NEUTRAL,3,5,2,TGT,MINION,COMMON
AT_093,Frigbold algide,Matt Dixon,NEUTRAL,4,2,6,TGT,MINION,COMMON
AT_094,Jongleur de flammes,James Zhang,NEUTRAL,2,2,3,TGT,MINION,COMMON
AT_095,Chevalier silencieux,Esad Ribic,NEUTRAL,3,2,2,TGT,MINION,COMMON
AT_096,Chevalier mécanique,Skan Srisuwan,NEUTRAL,5,5,5,TGT,MINION,COMMON
AT_097,Spectateur du tournoi,Adam Byrne,NEUTRAL,1,2,1,TGT,MINION,COMMON
AT_098,Mangesort prodigieuse,Wayne Reynolds,NEUTRAL,6,6,5,TGT,MINION,EPIC
AT_099,Chevaucheuse de kodo,Ben Wootten,NEUTRAL,6,3,5,TGT,MINION,EPIC
AT_100,Régente de la Main d’argent,John Polidora,NEUTRAL,3,3,3,TGT,MINION,COMMON
AT_101,Combattante de la fosse,Alex Horley Orlandelli,NEUTRAL,5,5,6,TGT,MINION,COMMON
AT_102,Jormungar capturé,Gonzalo Ordonez,NEUTRAL,7,5,9,TGT,MINION,COMMON
AT_103,Kraken de la mer Boréale,Seamus Gallagher,NEUTRAL,9,9,7,TGT,MINION,COMMON
AT_104,Jouteur rohart,Skan Srisuwan,PALADIN,5,5,5,TGT,MINION,RARE
AT_105,Kvaldir blessé,Zoltan Boros,NEUTRAL,1,2,4,TGT,MINION,RARE
AT_106,Champion de la Lumière,Andrea Uderzo,NEUTRAL,3,4,3,TGT,MINION,RARE
AT_108,Cheval de guerre cuirassé,Edouard Guiton & Tony Washington,NEUTRAL,4,5,3,TGT,MINION,RARE
AT_109,Guetteur d’Argent,Ben Zhang,NEUTRAL,2,2,4,TGT,MINION,RARE
AT_110,Régisseur du Colisée,Dan Scott,NEUTRAL,3,2,5,TGT,MINION,RARE
AT_111,Vendeur de rafraîchissements,Ron Spears,NEUTRAL,4,3,5,TGT,MINION,COMMON
AT_112,Maître jouteur,Penny Arcade,NEUTRAL,6,5,6,TGT,MINION,RARE
AT_113,Recruteur,Jim Nelson,NEUTRAL,5,5,4,TGT,MINION,EPIC
AT_114,Provocateur maléfique,Dan Scott,NEUTRAL,4,5,4,TGT,MINION,COMMON
AT_115,Maître d’escrime,Howard Lyon,NEUTRAL,3,2,2,TGT,MINION,RARE
AT_116,Agent du Repos du ver,Jeff Easley,PRIEST,2,1,4,TGT,MINION,RARE
AT_117,Maîtresse de cérémonie,Jesper Ejsing,NEUTRAL,3,4,2,TGT,MINION,EPIC
AT_118,Grande croisée,Todd Lockwood,NEUTRAL,6,5,5,TGT,MINION,EPIC
AT_119,Écumeur kvaldir,Trent Kaniuga,NEUTRAL,5,4,4,TGT,MINION,COMMON
AT_120,Géant du givre,Greg Staples,NEUTRAL,10,8,8,TGT,MINION,EPIC
AT_121,Favori de la foule,Jakub Kasper,NEUTRAL,4,4,4,TGT,MINION,EPIC
AT_122,Gormok l’Empaleur,Nutthapon Petchthai,NEUTRAL,4,4,4,TGT,MINION,LEGENDARY
AT_123,Frissegueule,Raymond Swanland,NEUTRAL,7,6,6,TGT,MINION,LEGENDARY
AT_124,Bolf Bélier-Frondeur,Wayne Reynolds,NEUTRAL,6,3,9,TGT,MINION,LEGENDARY
AT_125,Glace-Hurlante,John Polidora,NEUTRAL,9,10,10,TGT,MINION,LEGENDARY
AT_127,Champion du Nexus Saraad,Marcelo Vignali,NEUTRAL,5,4,5,TGT,MINION,LEGENDARY
AT_128,Le chevalier squelette,Mike Sass,NEUTRAL,6,7,4,TGT,MINION,LEGENDARY
AT_129,Fjola Plaie-lumineuse,Mark Zug,NEUTRAL,3,3,4,TGT,MINION,LEGENDARY
AT_130,Saccageur des mers,James Ryman,WARRIOR,6,6,7,TGT,MINION,EPIC
AT_131,Eydis Plaie-sombre,Ben Thompson,NEUTRAL,3,3,4,TGT,MINION,LEGENDARY
AT_132,Justicière Cœur-Vrai,Jomaro Kindred,NEUTRAL,6,6,3,TGT,MINION,LEGENDARY
AT_133,Jouteuse de Gadgetzan,Skan Srisuwan,NEUTRAL,1,1,2,TGT,MINION,COMMON
AV_100,Drek’Thar,Alex Horley Orlandelli,NEUTRAL,4,4,4,ALTERAC_VALLEY,MINION,LEGENDARY
AV_101,Héraut de Lokholar,Zoltan Boros,NEUTRAL,4,3,5,ALTERAC_VALLEY,MINION,COMMON
AV_102,Congelotron,Matt Dixon,NEUTRAL,3,3,3,ALTERAC_VALLEY,MINION,EPIC
AV_107,Englacé,Alex Horley Orlandelli,SHAMAN,6,,,ALTERAC_VALLEY,SPELL,RARE
AV_108,Fracas de bouclier,L. Lullabi & K. Turovec,WARRIOR,10,,,ALTERAC_VALLEY,SPELL,RARE
AV_109,Targe gelée,Konstantin Turovec,WARRIOR,2,,,ALTERAC_VALLEY,SPELL,EPIC
AV_112,Harpie brûleglace,James Ryman,NEUTRAL,3,3,4,ALTERAC_VALLEY,MINION,RARE
AV_113,Tavish en armure de bestiaire,Jim Nelson,HUNTER,6,,30,ALTERAC_VALLEY,HERO,LEGENDARY
AV_114,Ensorceleuse grelottante,Matt Dixon,MAGE,1,2,2,ALTERAC_VALLEY,MINION,COMMON
AV_115,Rafale de neige amplifiée,Junru Zhuo,MAGE,2,2,3,ALTERAC_VALLEY,MINION,COMMON
AV_116,Illumination des Arcanes,Aaron Su,MAGE,4,,,ALTERAC_VALLEY,SPELL,RARE
AV_118,Avant-garde usée par la guerre,Melvin Chan,DEMONHUNTER,2,2,2,ALTERAC_VALLEY,MINION,COMMON
AV_119,Droit au front !,James Ryman,WARRIOR,2,,,ALTERAC_VALLEY,SPELL,RARE
AV_121,Soldat gnome,Matt Dixon,NEUTRAL,1,1,3,ALTERAC_VALLEY,MINION,COMMON
AV_122,Caporal,Konstantin Turovec,NEUTRAL,2,2,3,ALTERAC_VALLEY,MINION,COMMON
AV_123,Éclaireuse furtive,Hideaki Takamura,NEUTRAL,2,3,2,ALTERAC_VALLEY,MINION,COMMON
AV_124,Commandant sur loup redoutable,Hideaki Takamura,NEUTRAL,3,2,5,ALTERAC_VALLEY,MINION,COMMON
AV_125,Sergent de la tour,Juyoung Oh,NEUTRAL,4,4,4,ALTERAC_VALLEY,MINION,COMMON
AV_126,Sergent du fortin,Mauricio Herrera,NEUTRAL,3,2,4,ALTERAC_VALLEY,MINION,COMMON
AV_127,Revenant des glaces,Jakub Kasper,NEUTRAL,4,4,5,ALTERAC_VALLEY,MINION,COMMON
AV_128,Mammouth englacé,Patrik Bjorkstrom,NEUTRAL,4,6,7,ALTERAC_VALLEY,MINION,EPIC
AV_129,Garde de sang,L. Lullabi & K. Turovec,NEUTRAL,5,4,7,ALTERAC_VALLEY,MINION,COMMON
AV_130,Légionnaire,Konstantin Turovec,NEUTRAL,6,9,3,ALTERAC_VALLEY,MINION,COMMON
AV_131,Chevalier-capitaine,Anton Zemskov,NEUTRAL,5,3,3,ALTERAC_VALLEY,MINION,COMMON
AV_132,Centurion troll,Mauricio Herrera,NEUTRAL,8,8,8,ALTERAC_VALLEY,MINION,COMMON
AV_133,Protecteur sabot-glacé,Zoltan Boros,NEUTRAL,6,2,10,ALTERAC_VALLEY,MINION,COMMON
AV_134,Instructrice loup-de-givre,Arthur Bozonnet,NEUTRAL,4,3,3,ALTERAC_VALLEY,MINION,RARE
AV_135,Maréchale foudrepique,Arthur Bozonnet,NEUTRAL,4,2,6,ALTERAC_VALLEY,MINION,RARE
AV_136,Sous-chef kobold,Patrik Bjorkstrom,NEUTRAL,3,2,4,ALTERAC_VALLEY,MINION,RARE
AV_137,Trogg de Gouffrefer,Konstantin Turovec,NEUTRAL,1,1,2,ALTERAC_VALLEY,MINION,RARE
AV_138,Mercenaire totem-sinistre,Konstantin Turovec,NEUTRAL,3,4,2,ALTERAC_VALLEY,MINION,EPIC
AV_139,Lieutenant abominable,Dave Allsop,NEUTRAL,8,3,5,ALTERAC_VALLEY,MINION,EPIC
AV_141t,"Lokholar, seigneur des glaces",James Ryman,NEUTRAL,10,8,8,ALTERAC_VALLEY,MINION,LEGENDARY
AV_142t,"Ivus, seigneur de la forêt",Nicola Saviori,NEUTRAL,1,1,1,ALTERAC_VALLEY,MINION,LEGENDARY
AV_143,Korrak le Ragesang,Alex Horley Orlandelli,NEUTRAL,4,3,5,ALTERAC_VALLEY,MINION,LEGENDARY
AV_145,Capitaine Galvangar,Nicola Saviori,WARRIOR,6,6,6,ALTERAC_VALLEY,MINION,LEGENDARY
AV_147,Fortin de Dun Baldar,J. Paick & K. Turovec,HUNTER,2,,,ALTERAC_VALLEY,SPELL,RARE
AV_200,Magistère Aubétreinte,Arthur Bozonnet,MAGE,7,,30,ALTERAC_VALLEY,HERO,LEGENDARY
AV_201,Yéti de Froide-Dent,Jim Nelson,ROGUE,3,1,5,ALTERAC_VALLEY,MINION,COMMON
AV_202,Rokara la valeureuse,Rafael Zanchetin,WARRIOR,7,,30,ALTERAC_VALLEY,HERO,LEGENDARY
AV_203,Artisan de l’ombre Tchak,Ivan Fomin,ROGUE,8,,30,ALTERAC_VALLEY,HERO,LEGENDARY
AV_204,"Kurtrus, écorcheur de démons",Zoltan Boros,DEMONHUNTER,6,,30,ALTERAC_VALLEY,HERO,LEGENDARY
AV_205,Guff Cœur-Sauvage,Paul Mafayon,DRUID,5,,30,ALTERAC_VALLEY,HERO,LEGENDARY
AV_206,Cariel sancteforge,Ursula Dorada,PALADIN,8,,30,ALTERAC_VALLEY,HERO,LEGENDARY
AV_207,"Xyrella, la dévote",James Ryman,PRIEST,8,,30,ALTERAC_VALLEY,HERO,LEGENDARY
AV_209,Glaive prison-effroyable,Studio Hive,DEMONHUNTER,1,1,,ALTERAC_VALLEY,WEAPON,COMMON
AV_210,Défricheuse,Mauricio Herrera,DRUID,3,3,4,ALTERAC_VALLEY,MINION,RARE
AV_211,Loup-de-Givre redoutable,Anton Zemskov,DRUID,4,4,4,ALTERAC_VALLEY,MINION,COMMON
AV_212,Siphon de mana,Anton Zemskov,MAGE,2,,,ALTERAC_VALLEY,SPELL,COMMON
AV_213,Afflux de vitalité,Konstantin Porubov,PALADIN,2,,,ALTERAC_VALLEY,SPELL,COMMON
AV_215,Hippogriffe frénétique,Martin Sickree,NEUTRAL,5,3,7,ALTERAC_VALLEY,MINION,COMMON
AV_218,Métamorphose de masse,Matt Dixon,MAGE,7,,,ALTERAC_VALLEY,SPELL,EPIC
AV_219,Commandant sur bélier,Matt Dixon,NEUTRAL,2,2,2,ALTERAC_VALLEY,MINION,COMMON
AV_222,Arcaniste impétueuse,Anzka Nguyen,NEUTRAL,5,3,4,ALTERAC_VALLEY,MINION,EPIC
AV_223,Vanndar Foudrepique,A.J. Nazzaro,NEUTRAL,4,4,4,ALTERAC_VALLEY,MINION,LEGENDARY
AV_224,Armer le piège,Jim Nelson,HUNTER,4,,,ALTERAC_VALLEY,SPELL,EPIC
AV_226,Piège de glace,Matt Dixon,HUNTER,2,,,ALTERAC_VALLEY,SPELL,EPIC
AV_238,Refroidisseuse,Hideaki Takamura,NEUTRAL,2,4,2,ALTERAC_VALLEY,MINION,COMMON
AV_244,Cherche-sang,Studio Hive,HUNTER,2,2,,ALTERAC_VALLEY,WEAPON,COMMON
AV_250,Bataille de boules de neige !,Evgeniy Dlinnov,SHAMAN,3,,,ALTERAC_VALLEY,SPELL,EPIC
AV_251,Frigbold sournois,Mike Sass,SHAMAN,3,3,4,ALTERAC_VALLEY,MINION,EPIC
AV_255,Gardien tombeneige,Jakub Kasper,SHAMAN,6,5,5,ALTERAC_VALLEY,MINION,COMMON
AV_256,Ingénieure réfléchissante,Martin Sickree,NEUTRAL,3,2,4,ALTERAC_VALLEY,MINION,COMMON
AV_257,Manitours Gla’cier,James Ryman,SHAMAN,7,6,6,ALTERAC_VALLEY,MINION,LEGENDARY
AV_258,Bru’kan des éléments,Alex Horley Orlandelli,SHAMAN,8,,30,ALTERAC_VALLEY,HERO,LEGENDARY
AV_259,Morsure de givre,Matt Dixon,SHAMAN,2,,,ALTERAC_VALLEY,SPELL,COMMON
AV_260,Fracasseur de grésil,Cheng Hao,SHAMAN,2,3,2,ALTERAC_VALLEY,MINION,RARE
AV_261,Voleuse de drapeau,Vladimir Kafanov,DEMONHUNTER,3,1,6,ALTERAC_VALLEY,MINION,COMMON
AV_262,Gardienne des chaînes,Zoltan Boros,DEMONHUNTER,4,2,6,ALTERAC_VALLEY,MINION,RARE
AV_264,Cachet de rétribution,Zoltan Boros,DEMONHUNTER,5,,,ALTERAC_VALLEY,SPELL,EPIC
AV_265,Géant ur’zul,Zoltan Boros,DEMONHUNTER,13,8,8,ALTERAC_VALLEY,MINION,EPIC
AV_266,Vent glacial,Todd Harris,SHAMAN,1,,,ALTERAC_VALLEY,SPELL,COMMON
AV_267,Caria Gangrâme,James Ryman,DEMONHUNTER,6,6,6,ALTERAC_VALLEY,MINION,LEGENDARY
AV_268,Grotte des Follepatte,J. Paick & K. Turovec,SHAMAN,4,,,ALTERAC_VALLEY,SPELL,RARE
AV_269,Manœuvre de contournement,L. Lullabi & A. Zemskov,DEMONHUNTER,4,,,ALTERAC_VALLEY,SPELL,RARE
AV_277,Graines de la destruction,Arthur Gimaldinov,WARLOCK,2,,,ALTERAC_VALLEY,SPELL,RARE
AV_281,Jouer avec le gangrefeu !,Jakub Kasper,WARLOCK,5,,,ALTERAC_VALLEY,SPELL,EPIC
AV_282,Faire un bonhomme de neige,Moon Colony,MAGE,3,,,ALTERAC_VALLEY,SPELL,RARE
AV_283,Rune de l’archimage,Arthur Bozonnet,MAGE,9,,,ALTERAC_VALLEY,SPELL,EPIC
AV_284,Balinda Gîtepierre,James Ryman,MAGE,6,5,5,ALTERAC_VALLEY,MINION,LEGENDARY
AV_285,Mal absolu,Arthur Gimaldinov,WARLOCK,3,,,ALTERAC_VALLEY,SPELL,RARE
AV_286,Marcheur gangrené,BOSi Studio,WARLOCK,6,3,7,ALTERAC_VALLEY,MINION,COMMON
AV_290,Tour de Glace-sang,J. Paick & K. Turovec,MAGE,10,,,ALTERAC_VALLEY,SPELL,RARE
AV_291,Matriarche sabre-de-givre,Cheng Hao,DRUID,7,4,5,ALTERAC_VALLEY,MINION,EPIC
AV_292,Cœur de fauve,Paul Mafayon,DRUID,3,,,ALTERAC_VALLEY,SPELL,COMMON
AV_293,Chef d’escadrille Mulverick,Anton Zemskov,DRUID,4,2,5,ALTERAC_VALLEY,MINION,LEGENDARY
AV_294,Adepte griffe-furieuse,Clint Cearley,DRUID,2,2,3,ALTERAC_VALLEY,MINION,COMMON
AV_295,Tenir la mine de Froide-dent,Zoltan Boros,DRUID,2,,,ALTERAC_VALLEY,SPELL,EPIC
AV_296,En quête de fierté,Anzka Nguyen,DRUID,3,2,4,ALTERAC_VALLEY,MINION,RARE
AV_298,Gnoll follepatte,Konstantin Turovec,ROGUE,5,3,5,ALTERAC_VALLEY,MINION,RARE
AV_308,Profanatrice de tombe,Vladimir Kafanov,WARLOCK,1,2,1,ALTERAC_VALLEY,MINION,COMMON
AV_309,Plein le dos du diablotin,Todd Harris,NEUTRAL,3,4,1,ALTERAC_VALLEY,MINION,COMMON
AV_312,Invocateur sacrificiel,Dave Allsop,WARLOCK,3,3,3,ALTERAC_VALLEY,MINION,EPIC
AV_313,Abomination livide,Dave Allsop,WARLOCK,5,2,8,ALTERAC_VALLEY,MINION,COMMON
AV_315,Heure de délivrance,Konstantin Porubov,PRIEST,3,,,ALTERAC_VALLEY,SPELL,COMMON
AV_316,"Tamsin, liche de l’effroi",Arthur Gimaldinov,WARLOCK,6,,30,ALTERAC_VALLEY,HERO,LEGENDARY
AV_317,Phylactère de Tamsin,Jakub Kasper,WARLOCK,4,,,ALTERAC_VALLEY,SPELL,LEGENDARY
AV_321,Chasseur de gloire,Konstantin Porubov,WARRIOR,3,4,3,ALTERAC_VALLEY,MINION,COMMON
AV_322,Bloqués par la neige,Matt Dixon,WARRIOR,3,,,ALTERAC_VALLEY,SPELL,EPIC
AV_323,Forgeron-ferrailleur,Konstantin Porubov,WARRIOR,3,2,4,ALTERAC_VALLEY,MINION,COMMON
AV_324,Mot de l’ombre : Dévoration,Evgeniy Dlinnov,PRIEST,1,,,ALTERAC_VALLEY,SPELL,EPIC
AV_325,Disciple immortelle,James Ryman,PRIEST,6,3,7,ALTERAC_VALLEY,MINION,RARE
AV_326,Géode lumineuse,Jakub Kasper,PRIEST,2,1,4,ALTERAC_VALLEY,MINION,COMMON
AV_328,Guide spectral,James Ryman,PRIEST,5,5,5,ALTERAC_VALLEY,MINION,COMMON
AV_329,Bénédiction,BOSi Studio,PRIEST,2,,,ALTERAC_VALLEY,SPELL,RARE
AV_330,Don des Naaru,Konstantin Porubov,PRIEST,1,,,ALTERAC_VALLEY,SPELL,EPIC
AV_331,Najak Maléficas,Evgeniy Dlinnov,PRIEST,4,1,4,ALTERAC_VALLEY,MINION,LEGENDARY
AV_333,Résurrection de familier,Anton Zemskov,HUNTER,3,,,ALTERAC_VALLEY,SPELL,RARE
AV_334,Bélier de combat foudrepique,Jim Nelson,HUNTER,4,4,3,ALTERAC_VALLEY,MINION,RARE
AV_335,Dompteuse de bélier,Matt Dixon,HUNTER,3,4,3,ALTERAC_VALLEY,MINION,COMMON
AV_336,Chef d’escadrille Ichman,Mike Sass,HUNTER,9,5,4,ALTERAC_VALLEY,MINION,LEGENDARY
AV_337,Ours des montagnes,Todd Harris,HUNTER,7,5,6,ALTERAC_VALLEY,MINION,COMMON
AV_338,Défense du pont,Ursula Dorada,PALADIN,3,,,ALTERAC_VALLEY,SPELL,COMMON
AV_339,Capitaine templier,Zoltan Boros,PALADIN,8,8,8,ALTERAC_VALLEY,MINION,RARE
AV_340,Aile de laiton,Zoltan Boros,PALADIN,8,9,7,ALTERAC_VALLEY,MINION,EPIC
AV_341,Cor de cavalerie,Michaela Nienaber,PALADIN,5,3,,ALTERAC_VALLEY,WEAPON,COMMON
AV_342,Protection des innocents,L. Lullabi & A. Bozonnet,PALADIN,5,,,ALTERAC_VALLEY,SPELL,RARE
AV_343,Protectrice de Gîtepierre,Vladimir Kafanov,PALADIN,3,3,1,ALTERAC_VALLEY,MINION,EPIC
AV_344,Pont de Dun Baldar,J. Paick & K. Turovec,PALADIN,4,,,ALTERAC_VALLEY,SPELL,RARE
AV_345,Saïdan l’Écarlate,A.J. Nazzaro,PALADIN,3,2,2,ALTERAC_VALLEY,MINION,LEGENDARY
AV_360,Chenils loup-de-givre,J. Paick & K. Turovec,DRUID,3,,,ALTERAC_VALLEY,SPELL,RARE
AV_400,Cimetière des neiges,J. Paick & K. Turovec,ROGUE,3,,,ALTERAC_VALLEY,SPELL,RARE
AV_401,Intendant foudrepique,Sergey Tsvelykh,NEUTRAL,2,2,2,ALTERAC_VALLEY,MINION,COMMON
